pmid,url,error
40872694,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12390016/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40868022,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12382797/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40867989,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12383062/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40867948,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12383033/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40828582,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12409126/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40767777,,No URL found
40684119,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12275277/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40561812,,No URL found
40526077,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12326957/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40490197,https://www.journalofhospitalinfection.com/action/showPdf?pii=S0195670125001665,HTTP Error: 403
40461926,,No URL found
40306368,,No URL found
40256650,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12006660/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40238794,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12002478/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40238184,,No URL found
40193160,,No URL found
40179956,,No URL found
40130309,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/apa.70070,HTTP Error: 403
40117848,,No URL found
40109916,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11920916/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40094204,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11911915/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40001392,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11851554/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39999320,,No URL found
39979877,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11843993/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39954958,,No URL found
39940025,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11817219/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39781234,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11709424/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39766516,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11672510/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39671750,,No URL found
39659641,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11631219/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39605060,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11600803/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39596711,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11591260/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39563932,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11574597/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39530345,,No URL found
39504227,,No URL found
39504224,,No URL found
39499880,,No URL found
39493585,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11531007/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39456062,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11520128/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39434072,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11492772/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39425170,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11488242/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39368748,,No URL found
39335325,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11428580/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39318970,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11421338/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39264249,,No URL found
39145141,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11322835/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39130924,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11317027/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39120219,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11311588/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39009335,,No URL found
38969586,,No URL found
38945432,,No URL found
38927147,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11201287/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
38825552,,No URL found
38782054,,No URL found
40980576,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12448488/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40980189,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12446664/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40643641,,No URL found
40487187,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12142308/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40335064,,No URL found
40035018,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11875800/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39704761,,No URL found
39376650,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11456437/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39370344,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11806321/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39277724,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11401251/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39197169,https://www.tandfonline.com/doi/pdf/10.1080/08164622.2024.2394101?needAccess=true,HTTP Error: 403
39105674,,No URL found
