pmid,url,error
40534940,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12172678/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40345620,,No URL found
39371369,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11450624/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
41160711,,No URL found
41066036,,No URL found
40995025,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12455415/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40995022,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12455197/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40683827,,No URL found
40395961,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12086241/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40043769,https://www.journalofdairyscience.org/action/showPdf?pii=S0022030225001134,HTTP Error: 403
39839360,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11748016/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
39504190,,No URL found
39324640,,No URL found
39168151,https://avmajournals.avma.org/downloadpdf/view/journals/javma/aop/javma.24.07.0478/javma.24.07.0478.pdf,Not a PDF (Content-Type: text/html; charset=utf-8)
38952488,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11216260/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
41098342,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12518050/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
41079139,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12514463/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40926417,,No URL found
40895378,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12390772/pdf/,Not a PDF (Content-Type: text/html; charset=utf-8)
40881605,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11961301/pdf/,HTTP Error: 403
